Item (EN),Description (EN),Category/Department (EN),Variant Name
Notebook,100-page spiral notebook with hard cover,stationary,Size A5 - Blue Cover
Chocolate Cake,Freshly baked double chocolate cake,restaurants,1kg - Extra Fudge
Wireless Headphones,Bluetooth over-ear headphones with noise cancellation,electronics,Model X100 - Black
Pain Relief Tablets,Fast-acting ibuprofen tablets for headaches,pharmacies,200mg - 24 Tablets
Dog Food,High-protein dry food for adult dogs,pet care,Chicken Flavor - 5kg Bag
Garden Hose,Flexible water hose for outdoor gardening,home and garden,25m Length - Green
Face Cream,Hydrating anti-aging night cream,beauty,50ml Jar - Collagen Boost
Board Game,Fun family strategy board game for all ages,entertainment,Edition 2024 - 2-6 Players
Protein Powder,Chocolate whey protein supplement,health and nutrition,1kg Tub - Muscle Gain
Olive Oil,Extra virgin cold-pressed olive oil,groceries,500ml Bottle - Premium Quality
Sneakers,Lightweight running shoes for men,fashion,Size 42 - Black/White
Car Wax,High-gloss car polish for paint protection,automotive,300ml Bottle - Easy Apply
Yoga Mat,Non-slip exercise mat for fitness,sports,6mm Thick - Purple
Toy Car,Remote-controlled sports car for kids,kids,Rechargeable - Red
Rose Bouquet,Fresh red roses gift bouquet,flowers and gifts,12 Stems - Wrapped in White Paper
