Item (EN),Category/Department (EN),Description (EN),Variant Name
Adidas Unisex Boxing Gloves Hybrid - 50,Boxing Gloves,"Hybrid - 50 boxing gloves is made from a high quality PU material to provide maximum durability and great shock absorption protecting your fist and knuckle during a boxing workout. Provided with internal lining on the inside for optimal comfort and great fit. Wide velcro closing system to provide strong quick adjustment, wrist protection and maximum support. Helps you deliver a firm and perfect punch with high speed and excellent execution. These Adidas gloves are suitable for fitness classes, kickboxing and boxing. Available for kids and adults with different colors and sizes.",10oz
Weight Plate,Bars / Plates,"Made of solid cast iron and coated in black rubber to add a layer of protection for fitness equipment and floors and safety for the user. Weight plates can be used to perform muscle strengthening exercises and endurance training, and to increase flexibility and balance. A single weight plate can also be used for warm-up exercises.",20kg
Exercise / Yoga Mat,Yoga Mat,"The exercise / yoga mat can be used for almost any floor exercise at home or in classes. This mat is soft and comfortable made from EVA (ethylene vinyl acetate) foam rubber - ideal for yoga, fitness or pilates. Slightly longer and wider than the majority of fitness mats can be used also without any problems e.g, on the beach.",150L x 60W cm (59”x 23.6”) T: 6.5 mm
Exercise / Yoga Mat,Yoga Mat,"The exercise / yoga mat can be used for almost any floor exercise at home or in classes. This mat is soft and comfortable made from EVA (ethylene vinyl acetate) foam rubber - ideal for yoga, fitness or pilates. Slightly longer and wider than the majority of fitness mats can be used also without any problems e.g, on the beach.",173L x 61W cm (68”x 24”) T: 4 mm
"Body Sculpture Core Push Up Grips, 2 kg, Multi-Color, Multiple Positions",Fitness Accessories,"Interchangeable handles allow for multiple positions to target your upper body, each colour-coded to match specific muscles. Instability resistance is great for increasing difficulty to work on a wider range of muscles. It can be removed for flat workouts. Made from abs for durability. Develop your upper body; core strength. Easy assembly.",
Body Sculpture Dumbbell Bar Hand with Locks,Bars / Plates,"The dumbbell bar with locks are easy to use and can be utilized by beginners and advanced weightlifters. It of high-quality steel and has a sturdy and durable structure. The fully adjustable design makes the installation and disassembly of the plates easy. Each handle features a brilliant chrome finishing to increase durability. These weight plates are fixed by star lock rings to prevent them from slipping during exercise. Complete arm muscle training device-designed to directly strengthen the strength of the biceps, triceps and forearm muscles, can enhance the strength, strength and control of the arm.",
Shin & Instep Guard,Boxing Accessories,Shin & instep guard is made from 100% woven polyester with safety break away. Adidas shin guard is padded for maximum safety and provided with foot protection.,XL
Body Sculpture Neoprene Kettlebell,Dumbbells and Kettlebells,"Neoprene kettlebells are made from solid cast iron with a protective neoprene coating; which helps make it floor friendly. Also, the product features an easy grip handle. The neoprene kettlebell provides progressive training, making it perfect for at home gyms. Its ideal for building muscle, flexibility, and it assists in building core strength; as its both an intense and effective whole body workout.",2kg
Body Sculpture Neoprene Kettlebell,Dumbbells and Kettlebells,"Neoprene kettlebells are made from solid cast iron with a protective neoprene coating; which helps make it floor friendly. Also, the product features an easy grip handle. The neoprene kettlebell provides progressive training, making it perfect for at home gyms. Its ideal for building muscle, flexibility, and it assists in building core strength; as its both an intense and effective whole body workout.",4kg
Lateral Speed Resistor,Jogging Kit,"The lateral speed resistor is ideal for resistance exercises that will help you increase bone density, improve metabolism, strengthen your lower body muscles, and helps the user maintain correct body positioning. The lateral speed resistor works on developing strength, balance, speed and first-step quickness of the user. The product features a padded, velcro adjustable ankle cuff that reduces friction and improves comfort to the user. The cord is extremely durable as its a bungee cord. For maximum safety of the user while exercising, the protective outer cover safely contains the resistance tube.",
