Item (EN),Category/Department (EN),Description (EN),Variant Name
Afnan 9 Pm - For Men - EDP - 100M,Perfumes,"Made in U.A.E
This Fragrance released in 2020.
Suitable for Fall &amp; Winter , recommended for Night Out &amp; Evening
Oriental-spicy
Top Notes Apple, Cinnamon, Wild Lavender , Bergamot 
Heart Notes Orange Blossom , Lily-of-the-Valley 
Base notes Vanilla, Tonka Bean, Amber , Patchouli.",
-Essence Lash &amp; Brow Gel Mascara - Transparent,,,
Armani Code EDP Pour Homme 110 Ml,Home Page,"What Is It: An oriental fougere fragrance for men. Fresh, warm, spicy, earthy, powdery &amp; tempting. Perfect for all occasions. Launch year: 2021. Perfect for all occasions.



Top notes: Lavender, Lemon, Bergamot.

Middle notes: Tonka bean.

Base notes: Vanilla, Cedar, Suede, Musk. Design house: Giorgio Armani. Scent. name: Armani Code Eau De Parfum.",
Azzaro Chrome EDT 100ML,Home Page,"What it is:




Launched by the design house of azzaro
This citrus aromatic fragrance has a blend of rosemary, pineapple, neroli, bergamot, lemon, cyclamen, coriander, jasmine, and oak moss
It is ideal for daily use
This citrus aromatic fragrance has a blend of rosemary, pineapple, neroli, bergamot, lemon, cyclamen, coriander, jasmine, and oak moss
It is ideal for daily use

Top notes are rosemary, pineapple, neroli, bergamot and lemon;
Heart notes are cyclamen, coriander, jasmine and oakmoss;
Base notes are sandalwood, tonka bean, musk, oakmoss, cedar, brazilian rosewood and cardamom.",
ÖKO-TEST VERY GOOD Magazine 7/2016,,,
Bali Body Watermelon Tanning Oil SPF15,Home Page,"Watermelon Tanning Oil with bonus sun protection. Achieve a deep natural tan with this hydrating, natural oil. ​Enriched with watermelon seed extract to naturally enhance melanin while leaving you smelling fruity fresh. Say hello to the ultimate summer essential.",
"Barry M Multitude Lip & Cheek Pen ""Honey Honey""",Home Page,"What it is:
Designed to mix and match to create a look that’s perfect for you, the Barry M Multitude Lip &amp; Cheek Pen is a handbag essential! Available in 3 shades, each pen has four stackable colours to suit your mood. Choose a shade and apply directly to your cheeks and lips and blend to reveal a natural hint of colour or try mixing tones for your own customised look!
- Mix &amp; match interchanging modules.
- Each pen has 4 stack-able colours
Colour: Natural
 
How to use:
Choose a shade and apply directly to your cheeks and lips and blend to reveal a natural hint of colour or try mixing tones for your own customised look!",
"Barry M Multitude Lip & Cheek Pen ""Sweet Darling""",Home Page,"What it is:
Designed to mix and match to create a look that’s perfect for you, the Barry M Multitude Lip &amp; Cheek Pen is a handbag essential! Available in 3 shades, each pen has four stackable colours to suit your mood. Choose a shade and apply directly to your cheeks and lips and blend to reveal a natural hint of colour or try mixing tones for your own customised look!
- Mix &amp; match interchanging modules.
- Each pen has 4 stack-able colours
Colour: Pink
 
How to use:
Choose a shade and apply directly to your cheeks and lips and blend to reveal a natural hint of colour or try mixing tones for your own customised look!",
Bath & Body Works Raspberry & Pink Lily Shower Gel,Home Page,"A bright, floral blend of sun-ripened raspberry, soft pink lily &amp; cashmere musk



Overview

Nourishing vitamin E combines with skin-loving shea butter &amp; aloe in this rich, bubbly lather. It's the perfect daily cleanser to leave skin feeling fresh &amp; clean!",
Benefit 24-Hour Brow Setter Clear Brow Gel,Home Page,"What it is:
Clear eyebrow gel with lamination effect

Shapes &amp; tames eyebrows
Flexible, flake-free formula
Custom-molded dual-sized wand

Why we love it:


Get SET for nonstop brows!This 24-hour* clear brow gel shapes &amp; tames brows and locks on makeup so brows don't pull a disappearing act. The custom-molded, dual-sided wand coats hairs from root to tip and the flexible, flake-free formula is easy to apply and quick to dry!

Sculpts, shapes, lifts &amp; locks brows in place 
24-hour* staying power
Custom-molded dual-sided applicator evenly coats brow hairs
Flexible, mess-free formula
Easy to apply &amp; quick to dry

100% said it controlled brow hairs**

*instrumental test on 21 women**self-evaluation by 32 women after 1 week",
"Benefit BADgal BANG 24 Hour Eye Pencil Shade ""Dark Purple""",Home Page,"What is it : A creamy longwear eye liner

Rich, creamy, waterproof**
Available in 4 shades
Includes a built-in smudger

Why we love it:
Get bold definition with BADgal BANG! 24 Hour* Eye Pencils. These rich, creamy, waterproof** eye liners glide on smooth and set to a transfer-resistant matte finish. Includes a built-in smudger for smoky eyes in seconds. Available in four shades that’ll flatter everyone. 

24 Hour* Longwear eye pencil
Waterproof**, transfer-resistant
Automatic, no-sharpen tip
Built-in smudger
Pitch Black, Deep Brown, Dark Purple, Midnight Blue",
"Benefit BADgal BANG! Volumizing Mascara Shade ""Blue""",Home Page,"What is it: BIGGER, BADDER volumizing mascara

Contains aero-particles
Smudge-proof and water-resistant
Custom Slimpact! brush

Why we Love it: BADgal BANG! 36 HOUR* FULL-BLAST volumizing mascara creates MASSIVE volume without weighing down lashes. The gravity-defying formula contains aero-particles, one of the lightest known materials, derived from space technology. This innovative intense pitch black mascara layers easily for bigger and BIGGER impact. Its custom big Slimpact! brush is streamlined to reach root-to-tip, corner-to-corner, upper and lower lashes for BIG VOLUME WITH 360° REACH!

Smudge-proof, water-resistant, volumizing mascara
90% saw dramatic volume**
94% said it instantly lifted lashes**
92% said it lengthened lashes**
ProVitamin B5 known to fuel thickness &amp; strength",
"Benefit Brow Contour Pro 4-In-1 Defining & Highlighting Brow Pencil ""Blonde Light""",Home Page,"What it is:

A 4-in-1 defining and highlighting brow pencil.

What it does:

Turn shapeless, flat brows into defined, contoured brows in an instant with this 4-in-1 contour pencil. It features a lighter brow shade, deeper brow shade, edge definer and arch highlighter to create clean, shaped brows with depth and dimension. It's available in five shades for a wide range of hair colours and skin tones.

What else you need to know:


Easy brow contouring
Blendable formula
24-hour longwear
Waterproof

 
HOW TO






Press down the lighter shade tab and twist until you see product and fill in the brow from start to arch. 

Press down the deeper shade tab and twist until you see product and fill in the brow from arch to end.

Stroke the definer below your brow from the start to end and above the brow from the arch to end and blend gently.

Apply the highlighter beneath your arch and blend outwards.",
"Benefit Brow Contour Pro 4-In-1 Defining & Highlighting Brow Pencil ""Brown Black / Light""",Home Page,"What it is:

A 4-in-1 defining and highlighting brow pencil.

What it does:

Turn shapeless, flat brows into defined, contoured brows in an instant with this 4-in-1 contour pencil. It features a lighter brow shade, deeper brow shade, edge definer and arch highlighter to create clean, shaped brows with depth and dimension. It's available in five shades for a wide range of hair colours and skin tones.

What else you need to know:


Easy brow contouring
Blendable formula
24-hour longwear
Waterproof

 
HOW TO






Press down the lighter shade tab and twist until you see product and fill in the brow from start to arch. 

Press down the deeper shade tab and twist until you see product and fill in the brow from arch to end.

Stroke the definer below your brow from the start to end and above the brow from the arch to end and blend gently.

Apply the highlighter beneath your arch and blend outwards.",
Benefit Eyelash Set Benefit Cosmetics Lash Love-In Brow Gift Set,Home Page,Includes: - Roller Lash super-curling &amp; liftingmascara I mini - Gimme Brow brow-volumizing fiber gel in shade 03 I mini - Pin-up Lash multi-layered lashes - Real False Lashes Invisible Lash Glue 48-hourlash glue I full-size,
Amplifies volume and multiplies the look of lashes,,,
"Benefit Gimme Brow+ Tinted Volumizing Eyebrow Gel Shade ""6 “",Home Page,"What it is:A brow-volumizing tinted gel with tiny microfibers that create natural-looking fullness and definition.What it does:Benefit’s Gimme Brow+ Volumizing Eyebrow Gel contains tiny microfibers that adhere to skin and brow hairs, creating natural-looking brow volume. The custom tiny, tapered brush provides an easy, mess-proof application, and makes it easy to tame, tint, and volumize the look of your brows. The buildable formula is also water resistant and long wearing. This product is an Allure Best of Beauty award winner.Beauty Tip:Start your look with Benefit’s bestselling Precisely, My Brow Pencil (sold separately) for expertly full and defined brow looks.",
"Benefit Goof Proof Brow Pencil Shade""4.5 Neutral Deep Brown",Home Page,"What it is:
Super easy brow-filling &amp; shaping pencil

Custom “goof-proof” tip
Easy &amp; fast glide-on formula
Built-in spoolie-brush

Why we love it:


Presto…everyone’s an expert with this super easy filling &amp; shaping eyebrow pencil. It features a custom, non-sharpen “goof-proof” tip, soft color and a glide-on formula for easy &amp; fast brow filling. Comes complete with built-in blending spoolie-brush and signature Tips &amp; Tricks!

Comes in full size &amp; mini
12-hour* waterproof** formula
95% said it was easy to fill &amp; shape brows***
94% said it gives beautiful brows on the first try***

*instrumental test on 20 panelists**Instrumental test on 22 panelists***consumer panel survey of 109 women after 1 week",
Benefit High Beam Liquid Highlighter 6.0 ML,Tint,"What it is: A satiny-pink liquid highlighter that accents cheek and brow bones for a dewy glow.What Else You Need to Know: Benefit Cosmetics’ new doe foot applicator glides on easily for soft rose-gold radiance. This long-lasting formula can be used as a spot highlighter over makeup or wear under complexion favorites for a subtle glow.
 

Suggested Usage:-Start fresh faced or dolled up by applying dots where you want to add radiance: cheekbones, brow bones, forehead, or down the bridge of nose.",
Benefit Love Tint Cheek & Lip Tint 6Ml,Tint,"What is it: Fiery-red tinted lip &amp; cheek stain

Fiery-red lip &amp; cheek tint
Long-lasting
Smudge-proof

Why we love it: Our fiery-red lip &amp; cheek stain is the most passionate flush you can get from a bottle. Our precise lip applicator glides right on for a gorgeous look in seconds. Apply on lips and cheeks for kiss-proof, long-lasting vibrant color you're sure to love!

Fiery-red lip &amp; cheek tint
Longwear
Smudge-proof
Non-drying

Suggested Usage:-Apply onto lips, layering to build intensity.-For a pout look, apply lip gloss on top.-Then, dot and blend quickly onto cheeks.-Beauty tip: Wear under High Beam (sold separately) on cheeks for a healthy-looking, dewy glow.",
